employee_id,department,role,tenure_years
EMP0001,Engineering,Individual Contributor,5.6
EMP0002,Finance,Individual Contributor,5.3
EMP0003,Marketing,Manager,18.2
EMP0004,Engineering,Manager,5.4
EMP0005,Sales,Manager,5.8
EMP0006,Sales,Individual Contributor,15.3
EMP0007,Sales,Individual Contributor,9.3
EMP0008,Finance,Manager,15.6
EMP0009,HR,Individual Contributor,1.8
EMP0010,Marketing,Individual Contributor,10.0
EMP0011,Sales,Individual Contributor,1.2
EMP0012,Finance,Director,1.7
EMP0013,Marketing,Director,18.2
EMP0014,Sales,Individual Contributor,3.2
EMP0015,Sales,Manager,10.9
EMP0016,Sales,Director,8.5
EMP0017,Engineering,Individual Contributor,7.3
EMP0018,Engineering,Individual Contributor,18.0
EMP0019,Engineering,Director,0.9
EMP0020,Engineering,Individual Contributor,13.4
EMP0021,HR,Individual Contributor,19.3
EMP0022,Sales,Individual Contributor,11.4
EMP0023,Engineering,Director,18.8
EMP0024,Engineering,Director,1.5
EMP0025,Engineering,Director,8.7
EMP0026,Marketing,Individual Contributor,5.6
EMP0027,Sales,Manager,14.8
EMP0028,Engineering,Manager,19.6
EMP0029,Engineering,Individual Contributor,5.5
EMP0030,Sales,Manager,13.3
EMP0031,HR,Individual Contributor,4.4
EMP0032,Sales,Individual Contributor,11.5
EMP0033,Sales,Individual Contributor,9.5
EMP0034,Finance,Individual Contributor,19.5
EMP0035,Finance,Individual Contributor,12.4
EMP0036,Marketing,Individual Contributor,7.3
EMP0037,Engineering,Individual Contributor,2.7
EMP0038,Sales,Manager,3.4
EMP0039,HR,Individual Contributor,4.9
EMP0040,Engineering,Individual Contributor,5.4
EMP0041,Sales,Individual Contributor,17.1
EMP0042,Engineering,Manager,11.4
EMP0043,Sales,Individual Contributor,10.7
EMP0044,Finance,Individual Contributor,2.7
EMP0045,Engineering,Manager,17.3
EMP0046,HR,Individual Contributor,14.6
EMP0047,Engineering,Individual Contributor,1.8
EMP0048,Engineering,Individual Contributor,14.3
EMP0049,Engineering,Manager,11.1
EMP0050,Sales,Individual Contributor,2.1
EMP0051,Finance,Manager,9.4
EMP0052,Marketing,Individual Contributor,10.0
EMP0053,Finance,Director,3.7
EMP0054,Finance,Manager,18.9
EMP0055,Engineering,Director,17.1
EMP0056,Finance,Individual Contributor,13.5
EMP0057,Sales,Manager,9.5
EMP0058,Sales,Individual Contributor,8.5
EMP0059,Sales,Individual Contributor,13.2
EMP0060,Engineering,Individual Contributor,11.1
EMP0061,Engineering,Manager,1.7
EMP0062,Engineering,Director,10.5
EMP0063,Marketing,Manager,16.2
EMP0064,Engineering,Individual Contributor,9.5
EMP0065,Engineering,Individual Contributor,1.5
EMP0066,Engineering,Manager,15.8
EMP0067,Sales,Individual Contributor,4.4
EMP0068,Marketing,Individual Contributor,5.5
EMP0069,Sales,Individual Contributor,3.7
EMP0070,Finance,Individual Contributor,6.9
EMP0071,Marketing,Individual Contributor,15.3
EMP0072,Sales,Individual Contributor,10.6
EMP0073,Sales,Individual Contributor,4.5
EMP0074,Marketing,Individual Contributor,17.6
EMP0075,Marketing,Director,17.7
EMP0076,Marketing,Individual Contributor,17.5
EMP0077,Marketing,Individual Contributor,5.2
EMP0078,Sales,Individual Contributor,9.3
EMP0079,Engineering,Individual Contributor,19.7
EMP0080,Sales,Director,15.6
EMP0081,Finance,Manager,1.0
EMP0082,HR,Individual Contributor,1.8
EMP0083,Engineering,Individual Contributor,9.5
EMP0084,Sales,Manager,18.2
EMP0085,Engineering,Director,11.0
EMP0086,Engineering,Individual Contributor,10.2
EMP0087,Marketing,Individual Contributor,2.6
EMP0088,HR,Individual Contributor,13.3
EMP0089,Finance,Director,16.5
EMP0090,Engineering,Individual Contributor,7.9
EMP0091,Sales,Director,15.6
EMP0092,Marketing,Individual Contributor,19.3
EMP0093,Marketing,Individual Contributor,4.5
EMP0094,Engineering,Individual Contributor,10.7
EMP0095,Marketing,Individual Contributor,6.1
EMP0096,Engineering,Individual Contributor,16.0
EMP0097,Engineering,Individual Contributor,11.8
EMP0098,Engineering,Individual Contributor,12.9
EMP0099,Sales,Manager,16.1
EMP0100,Sales,Individual Contributor,8.2
EMP0101,Sales,Individual Contributor,18.3
EMP0102,HR,Director,10.9
EMP0103,Engineering,Manager,3.6
EMP0104,Engineering,Director,14.1
EMP0105,Finance,Director,16.0
EMP0106,Sales,Individual Contributor,6.7
EMP0107,Engineering,Individual Contributor,17.2
EMP0108,Marketing,Manager,18.2
EMP0109,Sales,Individual Contributor,5.9
EMP0110,Sales,Individual Contributor,19.7
EMP0111,Engineering,Manager,3.2
EMP0112,Sales,Individual Contributor,4.4
EMP0113,Finance,Individual Contributor,4.1
EMP0114,Marketing,Individual Contributor,17.9
EMP0115,HR,Individual Contributor,13.3
EMP0116,Finance,Individual Contributor,3.5
EMP0117,Marketing,Individual Contributor,9.1
EMP0118,Sales,Manager,12.5
EMP0119,Finance,Individual Contributor,2.1
EMP0120,Engineering,Individual Contributor,17.7
EMP0121,Marketing,Manager,16.2
EMP0122,Finance,Director,10.4
EMP0123,Engineering,Manager,19.4
EMP0124,Sales,Manager,8.6
EMP0125,Sales,Individual Contributor,19.7
EMP0126,Engineering,Individual Contributor,13.5
EMP0127,Marketing,Individual Contributor,12.9
EMP0128,Finance,Individual Contributor,3.7
EMP0129,Sales,Individual Contributor,17.7
EMP0130,Engineering,Individual Contributor,8.8
EMP0131,Engineering,Manager,3.7
EMP0132,Sales,Individual Contributor,0.7
EMP0133,Sales,Individual Contributor,11.4
EMP0134,Engineering,Individual Contributor,10.8
EMP0135,Finance,Individual Contributor,14.5
EMP0136,Engineering,Individual Contributor,17.9
EMP0137,Engineering,Manager,2.0
EMP0138,Marketing,Individual Contributor,14.8
EMP0139,Engineering,Individual Contributor,4.2
EMP0140,Finance,Individual Contributor,17.2
EMP0141,Finance,Manager,16.5
EMP0142,Engineering,Individual Contributor,11.0
EMP0143,Engineering,Individual Contributor,14.3
EMP0144,Engineering,Individual Contributor,6.6
EMP0145,Engineering,Individual Contributor,9.7
EMP0146,Sales,Manager,16.5
EMP0147,HR,Manager,9.5
EMP0148,Engineering,Individual Contributor,7.5
EMP0149,Sales,Manager,10.1
EMP0150,Engineering,Manager,16.7
EMP0151,Finance,Manager,7.0
EMP0152,Sales,Manager,3.9
EMP0153,Sales,Individual Contributor,14.4
EMP0154,Engineering,Individual Contributor,16.6
EMP0155,Finance,Individual Contributor,2.5
EMP0156,Sales,Manager,5.2
EMP0157,HR,Individual Contributor,3.3
EMP0158,Marketing,Manager,7.3
EMP0159,Sales,Manager,9.3
EMP0160,Marketing,Individual Contributor,15.1
EMP0161,Engineering,Manager,13.2
EMP0162,HR,Individual Contributor,12.6
EMP0163,HR,Individual Contributor,7.4
EMP0164,Engineering,Manager,16.9
EMP0165,Sales,Individual Contributor,9.7
EMP0166,Marketing,Manager,19.6
EMP0167,Engineering,Manager,12.9
EMP0168,Sales,Individual Contributor,3.0
EMP0169,Sales,Individual Contributor,13.7
EMP0170,Engineering,Individual Contributor,6.8
EMP0171,HR,Individual Contributor,13.9
EMP0172,Sales,Director,1.9
EMP0173,Engineering,Individual Contributor,3.9
EMP0174,Sales,Individual Contributor,17.2
EMP0175,HR,Individual Contributor,4.9
EMP0176,Sales,Individual Contributor,16.8
EMP0177,HR,Manager,5.9
EMP0178,Engineering,Individual Contributor,13.0
EMP0179,Finance,Manager,14.0
EMP0180,Sales,Individual Contributor,10.5
EMP0181,Engineering,Director,6.5
EMP0182,Sales,Individual Contributor,4.6
EMP0183,Finance,Individual Contributor,1.1
EMP0184,Finance,Director,6.4
EMP0185,Engineering,Individual Contributor,13.2
EMP0186,HR,Director,18.8
